time[ms]  LW_traj[mm]  LW[mm]  RW_traj[mm]  RW[mm] 
0  0  0  0  0 
20  0  0  0  0 
40  0  0  0  0 
60  0  0  0  0 
80  -1  0  0  0 
100  -2  0  0  0 
120  -3  0  0  0 
140  -4  0  0  0 
160  -5  0  0  0 
180  -7  0  0  0 
200  -8  -1  0  0 
220  -10  -2  0  0 
240  -12  -4  0  0 
260  -14  -5  0  0 
280  -16  -8  0  0 
300  -18  -10  0  0 
320  -21  -13  0  0 
340  -23  -16  0  0 
360  -26  -19  0  0 
380  -29  -22  0  0 
400  -32  -25  0  0 
420  -35  -28  0  0 
440  -38  -31  1  0 
460  -41  -34  1  0 
480  -44  -37  1  0 
500  -48  -40  1  0 
520  -51  -43  1  0 
540  -55  -46  1  1 
560  -59  -50  1  1 
580  -62  -53  1  1 
600  -66  -57  1  1 
620  -70  -60  1  1 
640  -74  -64  2  1 
660  -78  -68  2  1 
680  -82  -72  2  1 
700  -86  -77  2  2 
720  -91  -81  2  2 
740  -95  -86  2  2 
760  -99  -90  2  2 
780  -104  -94  2  2 
800  -108  -99  3  2 
820  -113  -103  3  2 
840  -117  -108  3  2 
860  -122  -112  3  3 
880  -126  -117  3  3 
900  -131  -121  3  3 
920  -135  -126  3  3 
940  -140  -130  3  3 
960  -145  -135  4  3 
980  -149  -139  4  4 
1000  -154  -144  4  4 
1020  -158  -148  4  4 
1040  -163  -153  4  4 
1060  -168  -157  4  4 
1080  -172  -162  4  4 
1100  -177  -167  4  4 
1120  -181  -171  5  4 
1140  -186  -176  5  4 
1160  -191  -181  5  4 
1180  -195  -185  5  4 
1200  -200  -190  5  4 
1220  -204  -194  5  4 
1240  -208  -199  5  4 
1260  -213  -203  5  4 
1280  -217  -208  6  4 
1300  -221  -212  6  4 
1320  -225  -216  6  4 
1340  -229  -221  6  4 
1360  -234  -225  6  4 
1380  -238  -229  6  4 
1400  -241  -233  6  4 
1420  -245  -237  6  4 
1440  -249  -241  6  4 
1460  -253  -245  7  4 
1480  -256  -249  7  4 
1500  -260  -252  7  4 
1520  -263  -256  7  4 
1540  -267  -259  7  4 
1560  -270  -263  7  4 
1580  -273  -266  7  4 
1600  -276  -269  7  4 
1620  -279  -272  7  5 
1640  -282  -275  7  5 
1660  -284  -278  7  5 
1680  -287  -281  8  5 
1700  -289  -284  8  5 
1720  -292  -286  8  5 
1740  -294  -289  8  5 
1760  -296  -291  8  5 
1780  -298  -293  8  5 
1800  -300  -295  8  5 
1820  -301  -297  8  5 
1840  -303  -299  8  5 
1860  -304  -300  8  5 
1880  -305  -302  8  5 
1900  -306  -303  8  5 
1920  -307  -304  8  5 
1940  -307  -305  8  6 
1960  -308  -305  8  6 
1980  -308  -306  8  6 
2000  -308  -306  8  6 
